CH1V,CH2V,t0 =-4.880000e-05, tInc = 1.000000e-07,
-2.706133e-01,+2.260000e-01,,
-2.724667e-01,+2.192000e-01,,
-2.727067e-01,+2.192000e-01,,
-2.724667e-01,+2.352000e-01,,
-2.734000e-01,+2.260000e-01,,
-2.731733e-01,+2.580000e-01,,
-2.694666e-01,+2.466667e-01,,
-2.706133e-01,+2.420000e-01,,
-2.703866e-01,+2.512000e-01,,
-2.720133e-01,+2.626667e-01,,
-2.720133e-01,+2.466667e-01,,
-2.724667e-01,+2.764000e-01,,
-2.727067e-01,+2.694667e-01,,
-2.734000e-01,+2.832000e-01,,
-2.740933e-01,+2.580000e-01,,
-2.731733e-01,+2.809334e-01,,
-2.720133e-01,+2.786667e-01,,
-2.731733e-01,+2.854667e-01,,
-2.717733e-01,+2.901333e-01,,
-2.731733e-01,+2.854667e-01,,
-2.724667e-01,+3.014667e-01,,
-2.738667e-01,+3.106667e-01,,
-2.738667e-01,+2.992000e-01,,
-2.752533e-01,+2.992000e-01,,
-2.743200e-01,+3.106667e-01,,
-2.736267e-01,+3.221333e-01,,
-2.727067e-01,+3.176000e-01,,
-2.734000e-01,+3.221333e-01,,
-2.743200e-01,+3.198667e-01,,
-2.731733e-01,+3.336000e-01,,
-2.720133e-01,+3.244000e-01,,
-2.717733e-01,+3.496000e-01,,
-2.743200e-01,+3.426667e-01,,
-2.752533e-01,+3.473333e-01,,
-2.752533e-01,+3.312000e-01,,
-2.747867e-01,+3.449333e-01,,
-2.752533e-01,+3.541333e-01,,
-2.745600e-01,+3.610667e-01,,
-2.738667e-01,+3.586667e-01,,
-2.731733e-01,+3.518667e-01,,
-2.727067e-01,+3.518667e-01,,
-2.731733e-01,+3.656000e-01,,
-2.745600e-01,+3.724000e-01,,
-2.738667e-01,+3.838667e-01,,
-2.750266e-01,+3.793333e-01,,
-2.750266e-01,+3.908000e-01,,
-2.764133e-01,+3.816000e-01,,
-2.736267e-01,+3.976000e-01,,
-2.745600e-01,+3.976000e-01,,
-2.729333e-01,+4.090667e-01,,
-2.740933e-01,+4.113334e-01,,
-2.740933e-01,+4.021333e-01,,
-2.750266e-01,+4.158667e-01,,
-2.759466e-01,+4.113334e-01,,
-2.768800e-01,+4.136000e-01,,
-2.766400e-01,+4.136000e-01,,
-2.750266e-01,+4.113334e-01,,
-2.745600e-01,+4.228000e-01,,
-2.738667e-01,+4.205333e-01,,
-2.738667e-01,+4.433333e-01,,
-2.731733e-01,+4.296000e-01,,
-2.747867e-01,+4.456000e-01,,
-2.734000e-01,+4.365333e-01,,
-2.754800e-01,+4.525333e-01,,
-2.768800e-01,+4.525333e-01,,
-2.757200e-01,+4.616000e-01,,
-2.761733e-01,+4.548000e-01,,
-2.771066e-01,+4.662667e-01,,
-2.757200e-01,+4.478667e-01,,
-2.754800e-01,+4.753333e-01,,
-2.745600e-01,+4.525333e-01,,
-2.759466e-01,+4.662667e-01,,
-2.745600e-01,+4.822667e-01,,
-2.773333e-01,+4.662667e-01,,
-2.782666e-01,+4.730667e-01,,
-2.778000e-01,+4.982667e-01,,
-2.757200e-01,+4.845333e-01,,
-2.775733e-01,+4.913333e-01,,
-2.757200e-01,+4.937333e-01,,
-2.754800e-01,+5.050667e-01,,
-2.761733e-01,+4.937333e-01,,
-2.759466e-01,+5.028000e-01,,
-2.764133e-01,+5.165333e-01,,
-2.775733e-01,+5.280000e-01,,
-2.778000e-01,+5.142667e-01,,
-2.778000e-01,+5.280000e-01,,
-2.773333e-01,+5.097333e-01,,
-2.782666e-01,+5.165333e-01,,
-2.768800e-01,+5.302667e-01,,
-2.780266e-01,+5.280000e-01,,
-2.764133e-01,+5.417333e-01,,
-2.766400e-01,+5.372000e-01,,
-2.764133e-01,+5.394667e-01,,
-2.759466e-01,+5.417333e-01,,
-2.782666e-01,+5.348000e-01,,
-2.778000e-01,+5.554667e-01,,
-2.782666e-01,+5.508000e-01,,
-2.778000e-01,+5.692000e-01,,
-2.768800e-01,+5.692000e-01,,
-2.780266e-01,+5.622666e-01,,
-2.750266e-01,+5.554667e-01,,
-2.768800e-01,+5.760000e-01,,
-2.759466e-01,+5.669333e-01,,
-2.764133e-01,+5.737333e-01,,
